,satisfaction_level,average_montly_hours,promotion_last_5years,Salary_high,Salary_low,Salary_medium,Predicted Left company
14190,0.52,174,0,0,0,1,0
6169,0.73,249,0,0,0,1,0
1792,0.41,156,0,0,0,1,0
10231,0.58,256,0,0,0,1,0
1030,0.1,307,0,0,1,0,1
14262,0.44,135,0,0,1,0,0
4956,0.67,165,0,0,1,0,0
518,0.44,151,0,0,1,0,0
12278,0.09,254,0,0,1,0,1
13064,0.58,203,0,0,1,0,0
14151,0.53,172,1,1,0,0,0
4833,0.22,154,0,0,1,0,1
3171,0.38,159,0,0,0,1,0
2347,0.69,174,0,0,1,0,0
8878,0.66,236,0,1,0,0,0
9155,0.59,129,0,0,0,1,0
9576,0.24,184,0,0,0,1,0
7726,0.77,226,0,0,1,0,0
2512,0.22,205,0,0,1,0,1
4873,0.62,192,0,0,1,0,0
24,0.4,158,0,0,1,0,0
14370,0.45,132,0,0,1,0,0
11073,0.49,181,0,0,0,1,0
5310,0.63,248,0,0,1,0,0
13022,0.97,137,0,0,1,0,0
2233,0.7,214,0,0,1,0,0
9422,0.91,212,0,0,1,0,0
12528,0.09,301,0,0,0,1,1
3058,0.54,200,0,0,1,0,0
4804,0.91,171,0,0,1,0,0
3447,0.58,234,0,0,1,0,0
10180,0.88,142,0,0,1,0,0
3196,0.66,204,0,1,0,0,0
10293,0.61,240,0,0,1,0,0
654,0.1,308,0,0,0,1,1
13863,0.74,216,0,0,1,0,0
11929,0.82,219,0,0,1,0,0
5045,0.41,274,0,0,0,1,0
10728,0.63,245,0,0,1,0,0
2392,0.19,226,0,0,1,0,1
4535,0.89,174,0,0,1,0,0
10275,0.72,245,0,0,0,1,0
8342,0.93,184,0,0,0,1,0
11501,0.82,176,0,0,1,0,0
9588,0.82,256,0,0,0,1,0
824,0.37,138,0,0,1,0,0
10416,0.43,138,0,0,1,0,0
10452,0.76,198,0,0,1,0,0
173,0.1,284,0,0,1,0,1
13521,0.77,243,0,0,1,0,0
11970,0.14,115,0,1,0,0,0
4927,0.67,246,0,0,0,1,0
10663,0.54,244,0,0,0,1,0
8728,0.13,206,0,0,0,1,1
237,0.43,135,0,0,1,0,0
1775,0.09,273,0,0,1,0,1
1640,0.91,217,0,0,1,0,0
10100,0.2,160,0,0,1,0,1
66,0.43,153,0,0,0,1,0
12854,0.91,269,0,1,0,0,0
9180,0.48,224,0,0,1,0,0
14206,0.9,259,1,1,0,0,0
7024,0.57,126,0,0,0,1,0
